detection,lab_id,latitude,longitude,nuclide_id,salinity,sampdepth,samplabcode,station,temperatur,begperiod,uncertaint,unit_id,activity,samptype_id
=,345,78.83217,-2.0046666,28,34.9,987.6,1,341,0.0538,2025-07-30,5.886864e+07,12,2.2647685e+09,1
=,345,78.83217,-2.0046666,28,34.917,741.0,2,341,0.8933,2025-07-30,5.074921e+07,12,1.951592e+09,1
=,345,78.83217,-2.0046666,28,34.923,494.8,3,341,1.6611,2025-07-30,5.406397e+07,12,2.0810412e+09,1
=,345,78.83217,-2.0046666,28,34.948,395.9,4,341,2.2196,2025-07-30,5.812364e+07,12,2.2384364e+09,1
=,345,78.83217,-2.0046666,28,34.987,247.6,5,341,3.0336,2025-07-30,6.1192064e+07,12,2.3556746e+09,1
=,345,78.83217,-2.0046666,28,35.006,198.3,6,341,3.3387,2025-07-30,6.4200428e+07,12,2.4702676e+09,1
=,345,78.83217,-2.0046666,28,34.974,148.8,7,341,3.2226,2025-07-30,6.4021452e+07,12,2.4671421e+09,1
=,345,78.83217,-2.0046666,28,34.651,99.4,8,341,0.3582,2025-07-30,8.379917e+07,12,3.232566e+09,1
=,345,78.83217,-2.0046666,28,34.217,49.8,9,341,-0.3041,2025-07-30,1.1506282e+08,12,4.4353014e+09,1
=,345,78.83217,-2.0046666,28,33.82,25.0,10,341,-1.616,2025-07-30,1.6219029e+08,12,6.254773e+09,1
=,345,78.83217,-2.0046666,28,30.534,5.2,11,341,-0.0686,2025-07-30,1.1099913e+08,12,4.2853517e+09,1
=,345,78.8325,-2.4983332,28,34.924,2578.0,12,342,-0.703,2025-07-31,4.745141e+06,12,1.5021986e+08,1
=,345,78.8325,-2.4983332,28,34.899,987.7,13,342,0.1075,2025-07-31,5.0325996e+07,12,1.940556e+09,1
=,345,78.8325,-2.4983332,28,34.878,741.2,14,342,0.3974,2025-07-31,5.0358904e+07,12,1.9404983e+09,1
=,345,78.8355,-3.0125,28,34.882,396.3,15,345,1.1737,2025-07-31,5.384621e+07,12,2.0710088e+09,1
=,345,78.8355,-3.0125,28,34.844,247.4,16,345,1.2882,2025-07-31,6.406573e+07,12,2.4651453e+09,1
=,345,78.8355,-3.0125,28,34.766,197.6,17,345,1.0424,2025-07-31,6.963201e+07,12,2.6783089e+09,1
=,345,78.8355,-3.0125,28,34.225,100.6,19,345,-1.0791,2025-07-31,1.214289e+08,12,4.679856e+09,1
=,345,78.8355,-3.0125,28,33.814,49.9,20,345,-1.6456,2025-07-31,1.6283834e+08,12,6.275713e+09,1
=,345,78.8355,-3.0125,28,32.407,25.1,21,345,-0.9563,2025-07-31,1.5421451e+08,12,5.9320643e+09,1
=,345,78.8355,-3.0125,28,30.149,5.6,22,345,0.5784,2025-07-31,6.7714296e+07,12,2.6035827e+09,1
=,345,78.84116,-3.49,28,34.922,2246.6,23,346,-0.706,2025-08-01,5.503696e+06,12,1.8147182e+08,1
=,345,78.84116,-3.49,28,34.891,987.5,24,346,-0.0192,2025-08-01,4.453686e+07,12,1.710805e+09,1
=,345,78.84116,-3.49,28,34.877,741.3,25,346,0.3121,2025-08-01,5.3789024e+07,12,2.0701015e+09,1
=,345,78.83667,-4.5151668,28,34.912,1449.7,26,347,-0.3243,2025-08-01,2.4090512e+07,12,9.197955e+08,1
=,345,78.83667,-4.5151668,28,34.882,988.9,27,347,0.0545,2025-08-01,4.7661196e+07,12,1.8670848e+09,1
=,345,78.83667,-4.5151668,28,34.873,742.7,28,347,0.3708,2025-08-01,4.8006092e+07,12,1.8806505e+09,1
=,345,78.83283,-4.002,28,34.886,988.2,29,348,0.0835,2025-08-01,4.039337e+07,12,1.5809756e+09,1
=,345,78.83283,-4.002,28,34.878,741.6,30,348,0.2743,2025-08-01,3.9814696e+07,12,1.5591382e+09,1
=,345,78.83283,-4.002,28,34.87,494.9,31,348,0.819,2025-08-01,4.3215932e+07,12,1.69357e+09,1
=,345,78.83283,-4.002,28,34.877,395.9,32,348,1.2398,2025-08-01,5.1139464e+07,12,2.0031579e+09,1
=,345,78.83283,-4.002,28,34.915,247.5,33,348,2.5078,2025-08-01,5.980896e+07,12,2.345131e+09,1
=,345,78.83283,-4.002,28,34.458,198.6,34,348,-0.1734,2025-08-01,9.501174e+07,12,3.7313846e+09,1
=,345,78.83283,-4.002,28,33.98,148.6,35,348,-1.7134,2025-08-01,1.3507714e+08,12,5.3092465e+09,1
=,345,78.83283,-4.002,28,33.763,99.2,36,348,-1.815,2025-08-01,1.8193797e+08,12,7.1508557e+09,1
=,345,78.83283,-4.002,28,32.653,49.7,37,348,-1.6016,2025-08-01,1.3481186e+08,12,5.2949606e+09,1
=,345,78.83283,-4.002,28,31.617,24.9,38,348,-1.5819,2025-08-01,7.524242e+07,12,2.9494822e+09,1
=,345,78.83283,-4.002,28,30.747,4.9,39,348,-0.8191,2025-08-01,5.3087348e+07,12,2.0784005e+09,1
=,345,78.83417,-4.9973335,28,34.882,1009.4,40,350,-0.0125,2025-08-01,3.8743264e+07,12,1.5164883e+09,1
=,345,78.83417,-4.9973335,28,34.88,740.8,41,350,0.2779,2025-08-01,3.943521e+07,12,1.541554e+09,1
=,345,78.83417,-4.9973335,28,34.868,495.5,42,350,0.6795,2025-08-01,4.1878756e+07,12,1.6395636e+09,1
=,345,78.83417,-4.9973335,28,34.854,396.5,43,350,0.8515,2025-08-01,4.73322e+07,12,1.8540637e+09,1
=,345,78.83417,-4.9973335,28,34.924,247.1,44,350,2.3663,2025-08-01,5.8265104e+07,12,2.2848394e+09,1
=,345,78.83417,-4.9973335,28,34.699,198.0,45,350,0.799,2025-08-01,7.718734e+07,12,3.0311447e+09,1
=,345,78.83417,-4.9973335,28,34.243,149.2,46,350,-1.1566,2025-08-01,1.1151739e+08,12,4.38023e+09,1
=,345,78.83417,-4.9973335,28,33.535,99.2,47,350,-1.5688,2025-08-01,1.4412205e+08,12,5.6634056e+09,1
=,345,78.83417,-4.9973335,28,32.59,49.1,48,350,-1.5768,2025-08-01,1.23696744e+08,12,4.860712e+09,1
=,345,78.83417,-4.9973335,28,31.512,25.3,49,350,-1.4606,2025-08-01,6.951843e+07,12,2.7279352e+09,1
=,345,78.83417,-4.9973335,28,29.3755,5.6,50,350,0.0893,2025-08-01,4.89425e+07,12,1.9178922e+09,1
=,345,78.83483,-5.9898334,28,34.877,333.0,51,352,0.9815,2025-08-02,4.6138236e+07,12,1.8083619e+09,1
=,345,78.83483,-5.9898334,28,34.873,248.1,52,352,1.4774,2025-08-02,5.685844e+07,12,2.2286984e+09,1
=,345,78.83483,-5.9898334,28,34.8955,199.3,53,352,2.2657,2025-08-02,5.955948e+07,12,2.3366607e+09,1
=,345,78.83483,-5.9898334,28,34.5355,149.1,54,352,0.3359,2025-08-02,8.378168e+07,12,3.2884058e+09,1
=,345,78.83483,-5.9898334,28,33.9945,98.8,55,352,-1.5616,2025-08-02,1.3066434e+08,12,5.1328727e+09,1
=,345,78.83483,-5.9898334,28,33.2495,49.2,56,352,-1.6132,2025-08-02,1.7234013e+08,12,6.767541e+09,1
=,345,78.83483,-5.9898334,28,32.2365,24.7,57,352,-1.5253,2025-08-02,1.517357e+08,12,5.959314e+09,1
=,345,78.83483,-5.9898334,28,28.9885,5.1,58,352,-0.3665,2025-08-02,6.4506296e+07,12,2.5252897e+09,1
=,345,78.832664,-6.9876666,28,34.756,198.6,59,354,1.3204,2025-08-02,6.5558716e+07,12,2.5668872e+09,1
=,345,78.832664,-6.9876666,28,34.4055,148.9,60,354,-0.5266,2025-08-02,1.0369836e+08,12,4.0722417e+09,1
=,345,78.832664,-6.9876666,28,34.0115,99.4,61,354,-1.6155,2025-08-02,1.3569837e+08,12,5.327564e+09,1
=,345,78.832664,-6.9876666,28,33.2225,50.0,62,354,-1.6253,2025-08-02,1.8129835e+08,12,7.1248333e+09,1
=,345,78.832664,-6.9876666,28,32.1755,25.1,63,354,-1.5457,2025-08-02,1.3898838e+08,12,5.440491e+09,1
=,345,78.832664,-6.9876666,28,29.5375,4.8,64,354,-0.846,2025-08-02,6.6592e+07,12,2.6111063e+09,1
=,345,78.8335,-8.001166,28,34.6875,175.2,65,356,0.9247,2025-08-02,6.466544e+07,12,2.5352522e+09,1
=,345,78.8335,-8.001166,28,34.5155,148.7,66,356,0.1974,2025-08-02,8.0068216e+07,12,3.140589e+09,1
=,345,78.8335,-8.001166,28,33.9445,99.3,67,356,-1.1436,2025-08-02,1.3104258e+08,12,5.1454075e+09,1
=,345,78.8335,-8.001166,28,32.57025,50.0,68,356,-1.6424,2025-08-02,1.5985235e+08,12,6.2765757e+09,1
=,345,78.8335,-8.001166,28,31.60125,25.3,69,356,-1.5311,2025-08-02,1.0068737e+08,12,3.9502385e+09,1
=,345,78.8335,-8.001166,28,29.37125,4.9,70,356,0.8305,2025-08-02,6.36121e+07,12,2.4938048e+09,1
=,345,78.832664,-8.998834,28,34.43325,198.3,71,358,0.0482,2025-08-02,8.322481e+07,12,3.2663923e+09,1
=,345,78.832664,-8.998834,28,34.19525,149.6,72,358,-0.8397,2025-08-02,1.0778383e+08,12,4.2243254e+09,1
=,345,78.832664,-8.998834,28,33.25075,99.6,73,358,-1.3543,2025-08-02,1.3951904e+08,12,5.4724767e+09,1
=,345,78.832664,-8.998834,28,31.49825,50.3,74,358,-1.5363,2025-08-02,9.1916264e+07,12,3.6039816e+09,1
=,345,78.832664,-8.998834,28,31.14525,25.2,75,358,-1.3257,2025-08-02,8.763097e+07,12,3.4372132e+09,1
=,345,78.832664,-8.998834,28,29.52725,5.1,76,358,1.2018,2025-08-02,8.066473e+07,12,3.1577933e+09,1
