name,nuclide_id
ac228,55
ag108m,21
ag110m,22
am241,72
ba140,34
be7,2
bi212,130
bi214,46
cd109,84
ce141,36
ce144,37
cm242,73
cm243244,80
cm244,75
co57,7
co58,8
co60,9
cs134,31
cs134137,76
cs137,33
cs138,33
cs139,33
cs140,33
cs141,33
cs142,33
cs143,33
cs144,33
cs145,33
cs146,33
eu152,85
eu155,40
fe59,86
gd153,87
h3,1
i131,29
ir192,88
k-40,4
k40,4
la140,35
mn54,6
nb95,14
np237,65
pb210,41
pb212,42
pb214,43
po210,47
pu238,67
pu238240,89
pu239,68
pu239240,77
pu240,69
pu241,70
ra223,50
ra224,51
ra226,53
ra228,54
rb86,90
ru103,16
ru106,17
sb124,23
sb125,24
sc46,91
sn113,92
sn117m,93
sr89,11
sr90,12
tc99,15
te129m,25
th228,57
th232,59
th234,60
tl208,94
u234,62
u235,63
u238,64
zn65,10
zr95,13
