rubin,species_id
ABRA BRA,271
ANGU ANG,272
ARCT ISL,273
ASTE RUB,21
CARD EDU,274
CERA DIAP,60
CH HI;BA,0
CLAD GLO,290
CLUP HAR,50
CRAN CRA,59
CYPR CAR,275
ENCH CIM,276
ENGR ENC,84
ESOX LUC,269
FISHLARVAE,277
FUCU VES,96
FURC LUM,289
GADU MOR,99
GAST ACU,286
GYMN CER,288
LAMI SAC,110
LIMA LIM,270
MACO BAL,122
MERL MNG,139
MYA ARE,120
MYOX SCO,278
MYTI EDU,129
OSME EPE,279
PERC FLU,247
PLANKTON,280
PLAT FLE,191
PLEU PLA,192
POLY FUC,245
PSET MAX,281
RHODOPHY,282
RUTI RUT,283
SADU ENT,284
SCOM SCO,244
SOLE SOL,397
SPRA SPR,243
STIZ LUC,285
STUC PEC,704
VERT FUCO,703
ZANN PALU,1524
ZOAR VIV,287
ZOST MARI,621
