Event,Date_Time,Latitude,Longitude,Station,Cast,Bottle,Press_dbar_,DepthWater_m_,Temp___C_,Tpot___C_,Tcon___C_,Sal,ASAL_g_kg_,Density_kg_m__3_,BottomDepth_m,I129_at_l,unc_I129_at_l,U236_at_l,unc_U236_at_l,WM,f_mw,f_sim,f_pw,f_aw,Gamma_yrs,unc_Gamma_yrs,Delta_yrs,unc_Delta_yrs,Delta_Gamma_ratio,unc_Delta_Gamma_ratio,t_mode_yrs,unc_t_mode_yrs
SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,5,3,7,2000.1,1969.315623,-0.7253,-0.819533934,-0.81818662,34.92129671,35.08987228,1037.450151,3999.547,82014704.8920655,2752086.23312592,4970663.42703573,165706.675416875,EBDW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,5,3,9,1500.3,1478.968168,-0.5914,-0.657062701,-0.655895828,34.91538929,35.08365982,1035.129625,3999.547,276284162.932867,8913445.98321102,8488459.9333786,243762.834711741,CBDW,NaN,NaN,NaN,NaN,131,8,89,10,0.68,0.03,42,1
SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,5,3,11,1000.5,987.4908462,-0.1981,-0.240731524,-0.240035826,34.90546993,35.0730252,1032.768048,3999.547,2148553525.27517,66055700.3034336,16629525.8619936,507529.672330995,uPDW,NaN,NaN,NaN,NaN,38,2,28,4,0.74,0.06,11,1
SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,5,3,13,700.7,692.0560526,0.4244,0.392731134,0.392668146,34.90318953,35.07030938,1031.313586,3999.547,2468571059.73111,75779209.0709503,17404428.3809662,506410.170236254,dAAW,NaN,NaN,NaN,NaN,30,2,20,3,0.67,0.06,10,1
SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,5,3,15,500.5,494.5481263,1.1847,1.159780397,1.158736579,34.91262678,35.07954253,1030.317993,3999.547,2053613030.9624,63218041.9677756,17492176.7393479,461241.06927064,AAW,NaN,NaN,NaN,NaN,38,2,25,3,0.66,0.04,13,1
SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,5,3,17,300.4,296.9473792,1.6083,1.592818667,1.591483585,34.87876659,35.04532212,1029.318391,3999.547,2300410270.75151,71092692.9612186,14588060.2378613,433773.357038435,AAW,-0.00503011867136778,0.00876397182422452,-0.0237567138742618,1.02002286072141,47,5,52,12,1.11,0.12,6,1
SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,5,3,19,100,98.92758159,-0.63925,-0.642212884,-0.639713627,34.51654568,34.68111305,1028.227833,3999.547,3797759685.89165,125134145.292752,16873738.1841874,474284.348597501,AAW,0.0125820412810291,-0.00425253641934968,0.0259348579066453,0.965735637231675,18,1,4,1,0.22,0.05,16,2
SO21_05-03,2021-08-04T17:29:40,83.11933333,29.4805,5,3,21,28.8,28.47016337,-1.54475,-1.545321855,-1.541343055,34.02689981,34.18891857,1027.526221,3999.547,3635269565.60896,111896209.782008,15429695.0109462,447332.180901689,PSW,0.0194818331419169,0.00486380733793497,0.0185556638717624,0.957098695648386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,8,9,7,2001.3,1970.417214,-0.6591,-0.75448101,-0.753210102,34.9199713,35.08857418,1037.446932,2950.749,294453143.044101,9225558.05472466,6663956.96276137,218646.150812275,EBDW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,8,9,9,1501.2,1479.814036,-0.4983,-0.565184932,-0.56412668,34.91411563,35.08234937,1035.124814,2950.749,1124203256.99898,34576486.3803676,10680521.9641691,317521.87921764,CBDW,NaN,NaN,NaN,NaN,245,27,441,70,1.8,0.13,13,1
SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,8,9,11,1001.3,988.1447356,-0.16795,-0.210829668,-0.210153753,34.90146011,35.0689011,1032.762341,2950.749,2293834256.77815,72752058.0516581,16333596.9073777,436225.930388795,uPDW,NaN,NaN,NaN,NaN,36,2,28,4,0.78,0.06,9,1
SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,8,9,14,699.5,690.8245103,0.2024,0.172165458,0.172419131,34.89263696,35.05970154,1031.313137,2950.749,2692208251.43177,83542816.4240038,18819191.1112779,540696.120291049,dAAW,NaN,NaN,NaN,NaN,25,1,12,2,0.48,0.06,13,2
SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,8,9,15,500.5,494.506771,0.64755,0.624922709,0.624666597,34.88677707,35.05365065,1030.340443,2950.749,2453893397.41156,75415895.4032795,18034755.4102172,489154.668552645,dAAW,NaN,NaN,NaN,NaN,29,1,17,2,0.59,0.05,12,1
SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,8,9,17,300.2,296.7392011,1.08665,1.072497138,1.071848916,34.86418486,35.03076992,1029.34852,2950.749,2381694094.04211,73934634.7715407,18090456.5974245,460959.042439033,AAW,-0.000557084438122831,0.0035128192365315,-0.0125981000965337,1.00964236529813,31,2,19,2,0.61,0.05,12,1
SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,8,9,19,100.2,99.10104584,-0.8923,-0.895010633,-0.891988174,34.39143464,34.55559696,1028.13836,2950.749,5211723606.91217,162725711.289892,19960637.1485953,563836.651480992,PSW,0.01118797636936,0.00438280766975263,0.00157065857351237,0.982858557387375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SO21_08-09,2021-08-08T21:52:01,86.44733333,33.39616667,8,9,21,30.1,29.78710329,-1.6749,-1.675421696,-1.670598454,33.47240735,33.63263136,1027.085634,2950.749,6884378975.05825,211744272.067534,19861165.1440836,573518.771868038,PSW,0.0490423545091663,-0.0155394700126047,0.132698830328673,0.833798285174765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,16,6,7,3000.1,2946.896201,-0.7323,-0.899363959,-0.897944191,34.92966108,35.09860558,1041.990488,4438.287,71359551.7754418,2574667.54431344,2853386.64767182,104355.040484204,EBDW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,16,6,9,2000.1,1969.221408,-0.60615,-0.702339256,-0.701138066,34.92139936,35.09013213,1037.438125,4438.287,393937705.959521,12314782.8351505,6621348.31169527,195460.220913834,CBDW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SO21_16-06,2021-08-12T21:59:29,88.94466667,22.73066667,16,6,11,1000.2,987.0798577,-0.06285,-0.106570165,-0.10602682,34.90282231,35.07034143,1032.750267,4438.287,2530312434.69728,78528147.2560201,16090797.1147221,416078.508293807,uPDW,NaN,NaN,NaN,NaN,32,2,27,4,0.84,0.07,7,1
